rule_code,step_no,step_type,source,target,condition,expression
表2-1-R003,1,COMPUTE,,ID是否一致,"","id1 - ID3"
表2-1-R003,2,RECODE,ID是否一致,,"",""
表2-1-R015,1,COMPUTE,,BMI,"","RND(Q7 * 10000 / (Q6 * Q6),0"
表2-1-R016,1,COMPUTE,,BPC,"","Q81 - Q82"
表2-1-R017,1,COMPUTE,,乳龋失补,"","Q51+Q52+Q53"
表2-1-R018,1,COMPUTE,,恒龋失补,"","Q54+Q55+Q56"
表2-1-R019,1,RECODE,city,,"",""
表2-1-R020,1,RECODE,county,,"",""
表2-1-R021,1,RECODE,point,,"",""
表2-1-R022,1,RECODE,school,,"",""
表2-1-R023,1,RECODE,gender,,"",""
表2-1-R024,1,RECODE,birth,,"",""
表2-1-R025,1,RECODE,examine,,"",""
表2-1-R026,1,RECODE,zjtype,,"",""
表2-1-R027,1,RECODE,grade,,"",""
表2-1-R028,1,RECODE,age2,,"",""
表2-1-R029,1,RECODE,age2,,"",""
表2-1-R029,2,CONDITIONAL,,,"",""
表2-1-R029,3,CONDITIONAL,,,"",""
表2-1-R029,4,CONDITIONAL,,,"",""
表2-1-R029,5,CONDITIONAL,,,"",""
表2-1-R029,6,CONDITIONAL,,,"",""
表2-1-R029,7,CONDITIONAL,,,"",""
表2-1-R029,8,CONDITIONAL,,,"",""
表2-1-R029,9,CONDITIONAL,,,"",""
表2-1-R029,10,CONDITIONAL,,,"",""
表2-1-R029,11,CONDITIONAL,,,"",""
表2-1-R029,12,CONDITIONAL,,,"",""
表2-1-R029,13,CONDITIONAL,,,"",""
表2-1-R029,14,CONDITIONAL,,,"",""
表2-1-R029,15,CONDITIONAL,,,"",""
表2-1-R029,16,CONDITIONAL,,,"",""
表2-1-R029,17,CONDITIONAL,,,"",""
表2-1-R030,1,RECODE,Q6,,"",""
表2-1-R030,2,CONDITIONAL,,,"",""
表2-1-R030,3,CONDITIONAL,,,"",""
表2-1-R030,4,CONDITIONAL,,,"",""
表2-1-R030,5,CONDITIONAL,,,"",""
表2-1-R030,6,CONDITIONAL,,,"",""
表2-1-R030,7,CONDITIONAL,,,"",""
表2-1-R030,8,CONDITIONAL,,,"",""
表2-1-R030,9,CONDITIONAL,,,"",""
表2-1-R030,10,CONDITIONAL,,,"",""
表2-1-R030,11,CONDITIONAL,,,"",""
表2-1-R030,12,CONDITIONAL,,,"",""
表2-1-R030,13,CONDITIONAL,,,"",""
表2-1-R030,14,CONDITIONAL,,,"",""
表2-1-R030,15,CONDITIONAL,,,"",""
表2-1-R030,16,CONDITIONAL,,,"",""
表2-1-R030,17,CONDITIONAL,,,"",""
表2-1-R030,18,CONDITIONAL,,,"",""
表2-1-R030,19,CONDITIONAL,,,"",""
表2-1-R030,20,CONDITIONAL,,,"",""
表2-1-R030,21,CONDITIONAL,,,"",""
表2-1-R030,22,CONDITIONAL,,,"",""
表2-1-R030,23,CONDITIONAL,,,"",""
表2-1-R030,24,CONDITIONAL,,,"",""
表2-1-R030,25,CONDITIONAL,,,"",""
表2-1-R030,26,CONDITIONAL,,,"",""
表2-1-R030,27,CONDITIONAL,,,"",""
表2-1-R030,28,CONDITIONAL,,,"",""
表2-1-R030,29,CONDITIONAL,,,"",""
表2-1-R030,30,CONDITIONAL,,,"",""
表2-1-R030,31,CONDITIONAL,,,"",""
表2-1-R030,32,CONDITIONAL,,,"",""
表2-1-R030,33,CONDITIONAL,,,"",""
表2-1-R030,34,CONDITIONAL,,,"",""
表2-1-R030,35,CONDITIONAL,,,"",""
表2-1-R030,36,CONDITIONAL,,,"",""
表2-1-R030,37,CONDITIONAL,,,"",""
表2-1-R030,38,CONDITIONAL,,,"",""
表2-1-R030,39,CONDITIONAL,,,"",""
表2-1-R031,1,RECODE,Q7,,"",""
表2-1-R031,2,CONDITIONAL,,,"",""
表2-1-R031,3,CONDITIONAL,,,"",""
表2-1-R031,4,CONDITIONAL,,,"",""
表2-1-R031,5,CONDITIONAL,,,"",""
表2-1-R031,6,CONDITIONAL,,,"",""
表2-1-R031,7,CONDITIONAL,,,"",""
表2-1-R031,8,CONDITIONAL,,,"",""
表2-1-R031,9,CONDITIONAL,,,"",""
表2-1-R031,10,CONDITIONAL,,,"",""
表2-1-R031,11,CONDITIONAL,,,"",""
表2-1-R031,12,CONDITIONAL,,,"",""
表2-1-R031,13,CONDITIONAL,,,"",""
表2-1-R031,14,CONDITIONAL,,,"",""
表2-1-R031,15,CONDITIONAL,,,"",""
表2-1-R031,16,CONDITIONAL,,,"",""
表2-1-R031,17,CONDITIONAL,,,"",""
表2-1-R031,18,CONDITIONAL,,,"",""
表2-1-R031,19,CONDITIONAL,,,"",""
表2-1-R031,20,CONDITIONAL,,,"",""
表2-1-R031,21,CONDITIONAL,,,"",""
表2-1-R031,22,CONDITIONAL,,,"",""
表2-1-R031,23,CONDITIONAL,,,"",""
表2-1-R031,24,CONDITIONAL,,,"",""
表2-1-R031,25,CONDITIONAL,,,"",""
表2-1-R031,26,CONDITIONAL,,,"",""
表2-1-R031,27,CONDITIONAL,,,"",""
表2-1-R031,28,CONDITIONAL,,,"",""
表2-1-R031,29,CONDITIONAL,,,"",""
表2-1-R031,30,CONDITIONAL,,,"",""
表2-1-R031,31,CONDITIONAL,,,"",""
表2-1-R031,32,CONDITIONAL,,,"",""
表2-1-R031,33,CONDITIONAL,,,"",""
表2-1-R031,34,CONDITIONAL,,,"",""
表2-1-R031,35,CONDITIONAL,,,"",""
表2-1-R031,36,CONDITIONAL,,,"",""
表2-1-R031,37,CONDITIONAL,,,"",""
表2-1-R031,38,CONDITIONAL,,,"",""
表2-1-R031,39,CONDITIONAL,,,"",""
表2-1-R032,1,RECODE,BMI,,"",""
表2-1-R033,1,RECODE,Q09,,"",""
表2-1-R034,1,RECODE,Q81,,"",""
表2-1-R035,1,RECODE,Q82,,"",""
表2-1-R036,1,RECODE,BPC,,"",""
表2-1-R036,2,IFASSIGN,,,"",""
表2-1-R036,3,RECODE,压差可疑,,"",""
表2-1-R037,1,RECODE,乳龋失补,,"",""
表2-1-R037,2,RECODE,Q51,,"",""
表2-1-R037,3,RECODE,Q52,,"",""
表2-1-R037,4,RECODE,Q53,,"",""
表2-1-R037,5,IFASSIGN,,,"",""
表2-1-R038,1,RECODE,恒龋失补,,"",""
表2-1-R038,2,RECODE,Q54,,"",""
表2-1-R038,3,RECODE,Q55,,"",""
表2-1-R038,4,RECODE,Q56,,"",""
表2-1-R038,5,IFASSIGN,,,"",""
表2-1-R039,1,RECODE,学校类型,,"",""
