rule_code,step_no,step_type,source,target,condition,expression
表1-2-R002,1,COMPUTE,,ID是否一致,"","ID1 - ID3"
表1-2-R002,2,RECODE,ID是否一致,,"",""
表1-2-R003,1,COMPUTE,,学生情况1,"","A41-A42-A43"
表1-2-R003,2,RECODE,学生情况1,,"",""
表1-2-R004,1,COMPUTE,,学生情况2,"","A44-A45-A46"
表1-2-R004,2,RECODE,学生情况2,,"",""
表1-2-R005,1,RECODE,city,,"",""
表1-2-R006,1,RECODE,county,,"",""
表1-2-R007,1,RECODE,point,,"",""
表1-2-R008,1,RECODE,school,,"",""
表1-2-R009,1,RECODE,A1,,"",""
表1-2-R010,1,RECODE,A2,,"",""
表1-2-R011,1,RECODE,A3,,"",""
