output_code,output_name,output_type,select_condition,spss_source_size
表2-1-O001,"01-表2-1-ID不一致-中小学",ERROR_GROUP,"ID是否一致 = 1",106
表2-1-O002,"02-表2-1-ID重复-中小学",ERROR_GROUP,"PrimaryFirst1 = 0",111
表2-1-O003,"03-表2-1-基本信息缺失-中小学",ERROR_GROUP,"地市编码缺失 = 1 OR 县区编码缺失=1 OR 城乡编码缺失或异常=1 OR 学校编码缺失=1 OR 年级编码缺失或异常=1 OR 性别编码缺失或异常=1 OR 出生日期缺失=1 OR 检测日期缺失=1 OR 证件类型缺失或异常=1",261
表2-1-O004,"04-表2-1--证件号码缺失-中小学",ERROR_GROUP,"证件号码缺失 = 1",107
表2-1-O005,"05-表2-1--证件位数异常-中小学",ERROR_GROUP,"证件位数异常 = 1",108
表2-1-O006,"06-表2-1-身份证与出生日期不一致",ERROR_GROUP,"身份证出生日期异常 = 1",110
表2-1-O007,"07-表2-1-身份证性别异常-中小学",ERROR_GROUP,"身份证性别异常 = 1",108
表2-1-O008,"08-表2-1-年龄异常-中小学",ERROR_GROUP,"年龄异常=1",101
表2-1-O009,"表2-1-清理后-中小学",CLEAN_DATA,"地市编码缺失 = 0 AND 县区编码缺失=0 AND 城乡编码缺失或异常=0 AND 学校编码缺失=0 AND 年级编码缺失或异常=0 AND 性别编码缺失或异常=0 AND 出生日期缺失=0 AND 检测日期缺失=0 AND ID是否一致=0 AND PrimaryFirst1=1 AND 证件类型缺失或异常 = 0 AND 年龄异常=0",313
表2-1-O010,"08-表2-1-年龄可疑-中小学",ERROR_GROUP,"年龄可疑 = 1",102
表2-1-O011,"09-表2-1-身高体重可疑-中小学",ERROR_GROUP,"身高异常或缺失 = 1 OR 体重异常或缺失=1 OR BMI异常或缺失=1",159
表2-1-O012,"10-表2-1-腰围可疑-中小学",ERROR_GROUP,"腰围异常或缺失=1",120
表2-1-O013,"11-表2-1-血压可疑-中小学",ERROR_GROUP,"收缩压可疑 = 1 OR 舒张压可疑=1 OR 压差可疑=1",124
表2-1-O014,"12-表2-1-龋齿可疑-中小学",ERROR_GROUP,"乳龋可疑 =1 OR 恒龋可疑=1",111
表2-1-O015,"13-表2-1-脊柱异常或缺失或脊柱侧弯可疑-中小学",ERROR_GROUP,"脊柱侧弯可疑 = 1 OR 脊柱异常或缺失 = 1",131
