rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表2-3-R001,age2,COMPUTE,"EXAMINE;BIRTH;DAYS",0,"age2",120,"age2 = evalDecimal(""DATEDIFF(EXAMINE,BIRTH,\""days\"")/365"")"
表2-3-R002,ID3,COMPUTE,"PROVINCE;CITY;COUNTY;POINT;SCHOOL;GRADE;NUM",0,"ID3",128,"ID3 = evalDecimal(""((10**13)*province)+((10**11)*city)+(county*(10**9))+(point*(10**8))+(school*(10**6))+(grade*(10**4))+num"")"
表2-3-R003,ID是否一致,ROW_CHECK,"ID1;ID3",2,"ID是否一致",162,"ID是否一致 = evalDecimal(""id1 - ID3""); recode(ID是否一致 -> ID是否一致); ID是否一致 = missing(ID是否一致) || ID是否一致 != 0 ? 1 : 0"
表2-3-R004,地市编码缺失,ROW_CHECK,"CITY",1,"地市编码缺失",53,"recode(city -> 地市编码缺失); 地市编码缺失 = missing(地市编码缺失) || 地市编码缺失 != 0 ? 1 : 0"
表2-3-R005,县区编码缺失,ROW_CHECK,"COUNTY",1,"县区编码缺失",55,"recode(county -> 县区编码缺失); 县区编码缺失 = missing(县区编码缺失) || 县区编码缺失 != 0 ? 1 : 0"
表2-3-R006,城乡编码缺失或异常,ROW_CHECK,"POINT",1,"城乡编码缺失或异常",69,"recode(point -> 城乡编码缺失或异常); 城乡编码缺失或异常 = missing(城乡编码缺失或异常) || 城乡编码缺失或异常 != 0 ? 1 : 0"
表2-3-R007,学校编码缺失,ROW_CHECK,"SCHOOL",1,"学校编码缺失",55,"recode(school -> 学校编码缺失); 学校编码缺失 = missing(学校编码缺失) || 学校编码缺失 != 0 ? 1 : 0"
表2-3-R008,性别编码缺失或异常,ROW_CHECK,"GENDER",1,"性别编码缺失或异常",70,"recode(gender -> 性别编码缺失或异常); 性别编码缺失或异常 = missing(性别编码缺失或异常) || 性别编码缺失或异常 != 0 ? 1 : 0"
表2-3-R009,出生日期缺失,ROW_CHECK,"BIRTH",1,"出生日期缺失",54,"recode(birth -> 出生日期缺失); 出生日期缺失 = missing(出生日期缺失) || 出生日期缺失 != 0 ? 1 : 0"
表2-3-R010,检测日期缺失,ROW_CHECK,"EXAMINE",1,"检测日期缺失",72,"recode(examine -> 检测日期缺失); 检测日期缺失 = missing(检测日期缺失) || 检测日期缺失 != 0 ? 1 : 0"
表2-3-R011,年级编码缺失或异常,ROW_CHECK,"GRADE",1,"年级编码缺失或异常",163,"recode(grade -> 年级编码缺失或异常); 年级编码缺失或异常 = missing(年级编码缺失或异常) || 年级编码缺失或异常 != 0 ? 1 : 0"
表2-3-R012,年龄异常,ROW_CHECK,"AGE2",1,"年龄异常",73,"recode(age2 -> 年龄异常); 年龄异常 = missing(年龄异常) || 年龄异常 != 0 ? 1 : 0"
