rule_code,step_no,step_type,source,target,condition,expression
表2-2-R003,1,COMPUTE,,ID是否一致,"","id1 - ID3"
表2-2-R003,2,RECODE,ID是否一致,,"",""
表2-2-R005,1,COMPUTE,,BMI,"","RND(Q7 * 10000 / (Q6 * Q6),0"
表2-2-R006,1,COMPUTE,,BPC,"","Q81 - Q82"
表2-2-R007,1,COMPUTE,,恒龋失补,"","Q54+Q55+Q56"
表2-2-R008,1,RECODE,city,,"",""
表2-2-R009,1,RECODE,county,,"",""
表2-2-R010,1,RECODE,point,,"",""
表2-2-R011,1,RECODE,school,,"",""
表2-2-R012,1,RECODE,gender,,"",""
表2-2-R013,1,RECODE,birth,,"",""
表2-2-R014,1,RECODE,examine,,"",""
表2-2-R015,1,RECODE,grade,,"",""
表2-2-R016,1,RECODE,age2,,"",""
表2-2-R017,1,RECODE,age2,,"",""
表2-2-R017,2,CONDITIONAL,,,"",""
表2-2-R017,3,CONDITIONAL,,,"",""
表2-2-R017,4,CONDITIONAL,,,"",""
表2-2-R017,5,CONDITIONAL,,,"",""
表2-2-R017,6,CONDITIONAL,,,"",""
表2-2-R017,7,CONDITIONAL,,,"",""
表2-2-R017,8,CONDITIONAL,,,"",""
表2-2-R017,9,CONDITIONAL,,,"",""
表2-2-R017,10,CONDITIONAL,,,"",""
表2-2-R017,11,CONDITIONAL,,,"",""
表2-2-R017,12,CONDITIONAL,,,"",""
表2-2-R017,13,CONDITIONAL,,,"",""
表2-2-R017,14,CONDITIONAL,,,"",""
表2-2-R017,15,CONDITIONAL,,,"",""
表2-2-R017,16,CONDITIONAL,,,"",""
表2-2-R017,17,CONDITIONAL,,,"",""
表2-2-R018,1,RECODE,VISIONR,,"",""
表2-2-R018,2,RECODE,VISIONL,,"",""
表2-2-R019,1,RECODE,Q6,,"",""
表2-2-R019,2,CONDITIONAL,,,"",""
表2-2-R019,3,CONDITIONAL,,,"",""
表2-2-R019,4,CONDITIONAL,,,"",""
表2-2-R019,5,CONDITIONAL,,,"",""
表2-2-R019,6,CONDITIONAL,,,"",""
表2-2-R019,7,CONDITIONAL,,,"",""
表2-2-R019,8,CONDITIONAL,,,"",""
表2-2-R019,9,CONDITIONAL,,,"",""
表2-2-R019,10,CONDITIONAL,,,"",""
表2-2-R019,11,CONDITIONAL,,,"",""
表2-2-R019,12,CONDITIONAL,,,"",""
表2-2-R019,13,CONDITIONAL,,,"",""
表2-2-R019,14,CONDITIONAL,,,"",""
表2-2-R019,15,CONDITIONAL,,,"",""
表2-2-R019,16,CONDITIONAL,,,"",""
表2-2-R019,17,CONDITIONAL,,,"",""
表2-2-R019,18,CONDITIONAL,,,"",""
表2-2-R019,19,CONDITIONAL,,,"",""
表2-2-R019,20,CONDITIONAL,,,"",""
表2-2-R019,21,CONDITIONAL,,,"",""
表2-2-R019,22,CONDITIONAL,,,"",""
表2-2-R019,23,CONDITIONAL,,,"",""
