rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表3-1-R001,ID3,COMPUTE,"PROVINCE;CITY;COUNTY;POINT;SCHOOL;A01;A011",0,"ID3",127,"ID3 = evalDecimal(""((10**13)*province)+((10**11)*city)+(county*(10**9))+(point*(10**8))+(school*(10**6))+(a01*(10**4))+a011"")"
表3-1-R002,ID是否一致,ROW_CHECK,"ID1;ID3",2,"ID是否一致",160,"ID是否一致 = evalDecimal(""ID1 - ID3""); recode(ID是否一致 -> ID是否一致); ID是否一致 = missing(ID是否一致) || ID是否一致 != 0 ? 1 : 0"
表3-1-R003,地市编码缺失,ROW_CHECK,"CITY",1,"地市编码缺失",53,"recode(city -> 地市编码缺失); 地市编码缺失 = missing(地市编码缺失) || 地市编码缺失 != 0 ? 1 : 0"
表3-1-R004,县区编码缺失,ROW_CHECK,"COUNTY",1,"县区编码缺失",55,"recode(county -> 县区编码缺失); 县区编码缺失 = missing(县区编码缺失) || 县区编码缺失 != 0 ? 1 : 0"
表3-1-R005,城乡编码缺失或异常,ROW_CHECK,"POINT",1,"城乡编码缺失或异常",69,"recode(point -> 城乡编码缺失或异常); 城乡编码缺失或异常 = missing(城乡编码缺失或异常) || 城乡编码缺失或异常 != 0 ? 1 : 0"
表3-1-R006,学校编码缺失,ROW_CHECK,"SCHOOL",1,"学校编码缺失",55,"recode(school -> 学校编码缺失); 学校编码缺失 = missing(学校编码缺失) || 学校编码缺失 != 0 ? 1 : 0"
表3-1-R007,年级编码缺失或异常,ROW_CHECK,"A01",1,"年级编码缺失或异常",69,"recode(A01 -> 年级编码缺失或异常); 年级编码缺失或异常 = missing(年级编码缺失或异常) || 年级编码缺失或异常 != 0 ? 1 : 0"
表3-1-R008,性别编码缺失或异常,ROW_CHECK,"A02",1,"性别编码缺失或异常",67,"recode(A02 -> 性别编码缺失或异常); 性别编码缺失或异常 = missing(性别编码缺失或异常) || 性别编码缺失或异常 != 0 ? 1 : 0"
表3-1-R009,住校编码缺失或异常,ROW_CHECK,"A04",1,"住校编码缺失或异常",67,"recode(A04 -> 住校编码缺失或异常); 住校编码缺失或异常 = missing(住校编码缺失或异常) || 住校编码缺失或异常 != 0 ? 1 : 0"
表3-1-R010,民族编码缺失或异常,ROW_CHECK,"A05",1,"民族编码缺失或异常",173,"recode(A05 -> 民族编码缺失或异常); 民族编码缺失或异常 = missing(民族编码缺失或异常) || 民族编码缺失或异常 != 0 ? 1 : 0"
